iter	Logloss
0	0.6833716356
1	0.6746717469
2	0.6665903508
3	0.6592944674
4	0.6529733422
5	0.6468046072
6	0.6412581977
7	0.636311018
8	0.6318743357
9	0.6274465897
10	0.6237808413
11	0.6202216865
12	0.616912807
13	0.6138998053
14	0.6113257664
15	0.6087148497
16	0.6062302342
17	0.6039960134
18	0.6018530394
19	0.5997454705
20	0.5979060752
21	0.5959736682
22	0.5943295917
23	0.5928189802
24	0.591369285
25	0.5899126279
26	0.5886737563
27	0.5873785499
28	0.5862838783
29	0.5851623094
30	0.5840802606
31	0.5831789896
32	0.5821906141
33	0.5810410129
34	0.58003863
35	0.579241519
36	0.5783352573
37	0.5775068306
38	0.5768261618
39	0.5760284171
40	0.5752003348
41	0.5744645646
42	0.5737120072
43	0.5731764279
44	0.5724908021
45	0.5720184309
46	0.571503784
47	0.5709415544
48	0.5703699403
49	0.5698494355
50	0.5693222959
51	0.5688628472
52	0.5684109825
53	0.5679572752
54	0.5675401307
55	0.5671798993
56	0.5667460132
57	0.5663514841
58	0.5658772879
59	0.5655404192
60	0.5652432171
61	0.5648952762
62	0.5645551052
63	0.5642627721
64	0.5639314475
65	0.5635602122
66	0.5632873188
67	0.5630076735
68	0.5627630993
69	0.5625209322
70	0.5622402093
71	0.5619394504
72	0.561717431
73	0.5613576572
74	0.5610703824
75	0.56083321
76	0.5606342089
77	0.560425742
78	0.5602696972
79	0.5600240772
80	0.5597639527
81	0.5594544156
82	0.5592906334
83	0.5591074075
84	0.5589135955
85	0.5587084743
86	0.5585167108
87	0.5583621732
88	0.5581066636
89	0.5579011158
90	0.5577239641
91	0.5575704173
92	0.5573893275
93	0.5572201317
94	0.5569931204
95	0.5568832467
96	0.5567480199
97	0.5565436825
98	0.5563686085
99	0.55625763
100	0.5561050177
101	0.5559502625
102	0.5558390865
103	0.5556965683
104	0.5556054791
105	0.5554905
106	0.5554203672
107	0.5552769769
108	0.5551275325
109	0.5550054413
110	0.5548903521
111	0.5547374485
112	0.554631791
113	0.5544906784
114	0.5543574703
115	0.5542708568
116	0.5542068077
117	0.5541357616
118	0.5540545081
119	0.5539385473
120	0.5538552502
121	0.5537972853
122	0.5537059927
123	0.553670214
124	0.5535852434
125	0.5534528284
126	0.553324966
127	0.5532061531
128	0.553102067
129	0.5530010521
130	0.5529120951
131	0.5528324656
132	0.5527443165
133	0.552600185
134	0.5525085429
135	0.5524300253
136	0.5523511589
137	0.5521861118
138	0.55208674
139	0.5520344889
140	0.551960671
141	0.5518805198
142	0.5517672149
143	0.5517154475
144	0.5516518302
145	0.5515871483
146	0.5515369124
147	0.551434697
148	0.5513032581
149	0.5512360598
150	0.5511454186
151	0.5510883259
152	0.5509937574
153	0.5509016471
154	0.5508149375
155	0.5507273425
156	0.5506439057
157	0.5505841562
158	0.5505494875
159	0.5505030112
160	0.5504338583
161	0.5503469286
162	0.550272517
163	0.550267594
164	0.5501950495
165	0.5501002947
166	0.5500666279
167	0.5500212023
168	0.5499578211
169	0.5498864275
170	0.5497950522
171	0.5497630207
172	0.5497172779
173	0.5496794124
174	0.5496134908
175	0.5495199275
176	0.5494513034
177	0.5493770711
178	0.5493416982
179	0.549295298
180	0.5492651793
181	0.54918019
182	0.5491213914
183	0.5490853844
184	0.5490123366
185	0.5489545683
186	0.548909902
187	0.5488866709
188	0.5488433742
189	0.5488037677
190	0.5487248272
191	0.5486266619
192	0.5485316862
193	0.5484724047
194	0.5484211826
195	0.5483306364
196	0.5482930756
197	0.54824019
198	0.5482024469
199	0.5481241247
200	0.5480670004
201	0.5480528764
202	0.548018599
203	0.5480132553
204	0.5479491694
205	0.5479118049
206	0.5478809281
207	0.5478434855
208	0.5478216193
