iter	Passed	Remaining
401	18696	19022
402	18776	19009
403	18842	18982
404	18891	18937
405	18938	18891
406	18989	18849
407	19034	18801
408	19083	18756
409	19132	18712
410	19181	18667
411	19221	18615
412	19288	18587
413	19335	18541
414	19384	18497
415	19433	18452
416	19479	18404
417	19532	18364
418	19592	18330
419	19635	18279
420	19687	18237
421	19732	18189
422	19772	18136
423	19816	18087
424	19861	18038
425	19910	17994
426	19957	17947
427	19999	17897
428	20043	17847
429	20086	17797
430	20135	17752
431	20181	17705
432	20221	17652
433	20270	17608
434	20320	17564
435	20369	17519
436	20414	17471
437	20461	17424
438	20511	17381
439	20559	17335
440	20605	17288
441	20651	17241
442	20696	17192
443	20744	17147
444	20791	17100
445	20838	17053
446	20883	17006
447	20933	16961
448	20980	16915
449	21028	16869
450	21079	16825
451	21121	16775
452	21165	16727
453	21209	16677
454	21255	16630
455	21301	16583
456	21348	16536
457	21397	16491
458	21446	16447
459	21491	16398
460	21537	16351
461	21583	16304
462	21632	16259
463	21680	16213
464	21726	16166
465	21773	16119
466	21820	16073
467	21868	16027
468	21912	15978
469	21960	15932
470	22020	15895
471	22065	15848
472	22110	15800
473	22154	15750
474	22195	15700
475	22246	15656
476	22294	15611
477	22339	15562
478	22383	15514
479	22434	15470
480	22482	15424
481	22527	15376
482	22573	15329
483	22616	15280
484	22664	15234
485	22708	15185
486	22752	15137
487	22800	15091
488	22849	15045
489	22900	15002
490	22947	14955
491	22993	14908
492	23039	14860
493	23083	14812
494	23133	14767
495	23183	14723
496	23231	14677
497	23272	14627
498	23322	14582
499	23365	14533
500	23409	14485
501	23459	14440
502	23503	14391
503	23550	14345
504	23600	14300
505	23645	14252
506	23689	14204
507	23735	14157
508	23778	14108
509	23822	14060
510	23866	14011
511	23910	13963
512	23970	13924
513	24015	13876
514	24059	13828
515	24102	13779
516	24151	13733
517	24200	13688
518	24248	13642
519	24291	13593
520	24335	13545
521	24380	13497
522	24427	13451
523	24472	13404
524	24522	13359
525	24569	13312
526	24615	13265
527	24663	13219
528	24710	13172
529	24761	13128
530	24812	13083
